Rohit Sharma,285,133.5,32.5,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=16YtWtkNeKn6U1NQ1l3rlbIRoUWBDb9kB,-,-
suryakumar yadav,95,134.9,26.6,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1AUVQlT_eopLGqURUh8nAAI2Rzt2anPEN,-,-
siddhesh lad,20,120.5,29,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1r5plpq04yAmXcp97SIkB389WC0jRMn64,-,-
aditya tare,76,131.9,26.8,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1EZT4ljEj2o06WajaZ0xMtHPELJ8TC8S5,-,-
saurabh tiwary,118,121.6,29.3,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1hgic_5csBEK5tnqS33qLeWAqOH8A5j5b,-,-
ajinkya rahane,169,118.5,30.2,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1rhBFNoIPjQa5k19mcjrel_wxrj7iL9sr,-,-
rahul tripathi,43,132.6,24,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=111lz9r1lKHhyKZULyl5houbZ7-DtzkIj,-,-
shubman gill,13,146,33.8,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1vxQZdr1d8BVPiJpJHPrMibeo3Afy0g8q,-,-
nitish rana,57,135.6,27.3,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1xg6QsarQQ7q5Ev_qbwdFcusREO64T8OE,-,-
rinku singh,29,129.5,17.6,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1FNdFlk-F38ldMPkaYR4xq7um8ofST2ua,-,-
manish pandey,182,118.9,28.3,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1DDH6MzqG0hBTOmKYO6PkmZSMIDdd2vx2,-,-
shikhar dhawan,224,123.7,32.1,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1XqQC4Nwnfm3XsfMlnoh-A84Uh8vGxSzr,-,-
shreyas iyer,74,128.7,28.7,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1R848s8rWEC35B43S1r7jtJ7x6PZJUmqz,-,-
prithvi shaw,9,153.1,27.2,-,-,Right-Handed Batsman,https://drive.google.com/thumbnail?id=1eiyuI7hOVyCDZyYkgofc4egZfnUWnaJF,-,-
gautam gambhir,245,120.6,29,-,-,Left-Handed Batsman,https://drive.google.com/thumbnail?id=1iVFBonpJCAC3doqW4nEtU43fDq6lmy1t,-,-
